"ticket_id","region","channel","handle_minutes","first_contact","satisfaction"
7001,"Southwest","Phone",40.1,"yes",5
7002,"Southwest","Chat",44.2,"yes",5
7003,"Southwest","Email",34.3,"yes",5
7004,"Southwest","Phone",40.4,"yes",4
7005,"Southwest","Phone",53.1,"yes",4
7006,"Southwest","Email",54.5,"no",2
7007,"Southwest","Phone",33.4,"yes",3
7008,"Southwest","Phone",56.9,"yes",3
7009,"Southwest","Phone",44.8,"yes",5
7010,"Southwest","Chat",46.1,"yes",5
7011,"Southwest","Chat",67.1,"no",3
7012,"Southwest","Phone",23.2,"yes",3
7013,"Southwest","Email",34.4,"yes",3
7014,"Southwest","Phone",29.3,"yes",4
7015,"Southwest","Chat",45.9,"no",2
7016,"Southwest","Email",78.5,"no",2
7017,"Southwest","Phone",38.4,"no",2
7018,"Southwest","Chat",41.6,"no",3
7019,"Southwest","Chat",59.9,"no",3
7020,"Southwest","Phone",38.1,"yes",5
7021,"Southwest","Phone",52,"yes",4
7022,"Southwest","Phone",49.4,"yes",4
7023,"Southwest","Email",30.4,"yes",5
7024,"Southwest","Phone",52,"no",2
7025,"Southwest","Phone",21,"yes",5
7026,"Southwest","Phone",42.6,"no",3
7027,"Southwest","Email",49.3,"no",3
7028,"Southwest","Phone",53.4,"no",3
7029,"Southwest","Email",51.4,"yes",3
7030,"Southwest","Chat",67.7,"yes",5
7031,"Southwest","Email",36.8,"no",3
7032,"Southwest","Chat",31,"no",3
7033,"Southwest","Phone",43.6,"no",3
7034,"Southwest","Chat",36.6,"yes",4
7035,"Southwest","Email",37.2,"yes",5
7036,"Southwest","Phone",42.9,"yes",5
7037,"Southwest","Phone",53.2,"yes",3
7038,"Southwest","Chat",41.6,"yes",5
7039,"Southwest","Email",42.6,"yes",4
7040,"Southwest","Chat",45.9,"yes",4
7041,"Southwest","Chat",46.8,"no",3
7042,"Southwest","Phone",45.9,"yes",5
7043,"Southwest","Chat",46.5,"no",4
7044,"Southwest","Email",43.6,"yes",4
7045,"Southwest","Email",46.7,"no",3
7046,"Southwest","Phone",78,"yes",5
7047,"Southwest","Chat",47.1,"no",3
7048,"Southwest","Phone",31.6,"yes",4
7049,"Southwest","Phone",37.4,"yes",5
7050,"Southwest","Phone",61.8,"yes",4
7051,"Southwest","Email",64.8,"yes",4
7052,"Southwest","Chat",50,"yes",5
7053,"Southwest","Phone",55.1,"no",4
7054,"Southwest","Email",35.1,"no",4
7055,"Southwest","Chat",49.4,"yes",2
7056,"Southwest","Chat",36.9,"no",2
7057,"Southwest","Phone",26.6,"no",3
7058,"Southwest","Phone",51.4,"yes",4
7059,"Southwest","Phone",52.5,"yes",5
7060,"Southwest","Phone",38.6,"no",2
7061,"Southwest","Phone",54.1,"yes",5
7062,"Southwest","Email",33,"yes",3
7063,"Southwest","Phone",68.8,"yes",4
7064,"Southwest","Phone",48.6,"no",3
7065,"Southwest","Email",45.4,"yes",4
7066,"Southwest","Chat",39.8,"yes",5
7067,"Southwest","Email",44.5,"yes",3
7068,"Southwest","Phone",50.6,"no",2
7069,"Southwest","Email",42.7,"yes",5
7070,"Southwest","Phone",34.1,"no",3
7071,"Southwest","Email",57.8,"no",4
7072,"Southwest","Chat",56.6,"yes",4
7073,"Southwest","Phone",35,"yes",5
7074,"Southwest","Phone",51.2,"yes",5
7075,"Southwest","Email",38.9,"yes",4
7076,"Southwest","Phone",46.6,"yes",5
7077,"Southwest","Phone",47.3,"no",3
7078,"Southwest","Phone",61.3,"yes",5
7079,"Southwest","Email",53.5,"yes",5
7080,"Southwest","Phone",60.1,"yes",3
7081,"Southwest","Email",38.3,"yes",4
7082,"Southwest","Chat",30.9,"no",3
7083,"Southwest","Email",45.2,"yes",3
7084,"Southwest","Chat",40.3,"yes",5
7085,"Southwest","Phone",42.2,"yes",4
7086,"Southwest","Chat",44.9,"yes",5
7087,"Southwest","Email",56.2,"yes",4
7088,"Southwest","Phone",54.4,"yes",5
7089,"Southwest","Phone",56.9,"yes",3
7090,"Southwest","Email",31.3,"no",2
7091,"Southwest","Email",43.6,"no",5
7092,"Southwest","Phone",80.8,"yes",4
7093,"Southwest","Phone",31,"yes",4
7094,"Southwest","Phone",41.1,"yes",4
7095,"Southwest","Email",41.6,"no",4
7096,"Southwest","Email",39.1,"no",3
7097,"Southwest","Phone",47.3,"yes",4
7098,"Southwest","Chat",43.5,"yes",4
7099,"Southwest","Phone",44.8,"yes",4
7100,"Southwest","Chat",52.4,"yes",4
7101,"Southwest","Phone",47.3,"yes",3
7102,"Southwest","Chat",38.9,"yes",4
7103,"Southwest","Email",36.1,"yes",4
7104,"Southwest","Phone",58.2,"yes",4
7105,"Southwest","Email",54.7,"yes",3
7106,"Southwest","Phone",35.1,"no",3
7107,"Southwest","Email",41.7,"yes",4
7108,"Southwest","Phone",51.6,"no",3
7109,"Southwest","Chat",37.6,"yes",4
7110,"Southwest","Phone",40.1,"yes",3
7111,"Southwest","Email",30.9,"yes",4
7112,"Southwest","Chat",43.2,"yes",4
7113,"Southwest","Chat",60.1,"no",4
7114,"Southwest","Email",63.1,"yes",3
7115,"Southwest","Phone",43.5,"yes",4
7116,"Southwest","Phone",41.1,"yes",5
7117,"Southwest","Chat",72.1,"no",3
7118,"Southwest","Email",37.3,"no",3
7119,"Southwest","Chat",43.7,"yes",3
7120,"Southwest","Phone",46.8,"yes",5
7121,"Southwest","Phone",68.2,"yes",4
7122,"Southwest","Chat",67.9,"no",3
7123,"Southwest","Phone",31.8,"yes",3
7124,"Southwest","Email",60,"yes",4
7125,"Southwest","Phone",35.1,"yes",5
7126,"Southwest","Email",41.4,"no",4
7127,"Southwest","Chat",51.2,"no",3
7128,"Southwest","Chat",35.4,"yes",5
7129,"Southwest","Phone",62.4,"no",3
7130,"Southwest","Email",51.7,"yes",5
7131,"Southwest","Phone",38.1,"no",3
7132,"Southwest","Email",35.4,"no",3
7133,"Southwest","Chat",35.5,"yes",3
7134,"Southwest","Email",37.8,"yes",4
7135,"Southwest","Chat",37.3,"yes",4
7136,"Southwest","Email",35.1,"no",4
7137,"Southwest","Phone",25.4,"yes",5
7138,"Southwest","Phone",65.9,"yes",5
7139,"Southwest","Chat",40.2,"yes",5
7140,"Southwest","Chat",51.5,"yes",4
7141,"Southwest","Phone",48.8,"no",3
7142,"Southwest","Email",47.7,"no",3
7143,"Southwest","Phone",26.2,"yes",4
7144,"Southwest","Phone",47.5,"no",3
7145,"Southwest","Email",54.5,"yes",3
