order_id,region,channel,customer_type,order_value,delivery_days,satisfaction_rating,returned
10001,north,web,returning,239.25,6,5,no
10002,east,web,returning,31.83,6,4,no
10003,south,phone,new,89.51,5,3,no
10004,east,mobile_app,returning,52.84,4,2,no
10005,south,mobile_app,new,28.86,5,4,yes
10006,north,web,returning,162.16,4,5,yes
10007,south,web,returning,36.17,2,4,no
10008,west,web,returning,83.65,2,4,no
10009,north,web,new,90.22,5,1,no
10010,south,web,returning,36.48,2,4,no
10011,east,phone,returning,54.91,5,3,no
10012,east,phone,returning,125.77,1,3,no
10013,east,web,returning,68.03,5,4,no
10014,east,web,returning,49.84,5,5,no
10015,east,mobile_app,returning,63.72,7,4,no
10016,north,web,returning,30.45,2,4,no
10017,south,mobile_app,new,58.35,6,4,no
10018,west,web,returning,65.79,5,4,no
10019,south,mobile_app,new,28.96,2,3,no
10020,north,mobile_app,returning,36.29,3,4,no
10021,west,mobile_app,returning,92.86,7,4,no
10022,south,web,new,361.5,3,5,yes
10023,east,mobile_app,new,80.96,4,5,no
10024,north,mobile_app,new,107.14,6,4,no
10025,west,mobile_app,returning,64.78,8,5,no
10026,north,phone,returning,114.54,3,4,yes
10027,north,mobile_app,new,253.5,7,4,no
10028,south,web,new,76.32,3,4,no
10029,south,mobile_app,returning,92.35,4,5,yes
10030,west,web,returning,135.87,3,2,no
10031,north,web,new,366.52,1,3,no
10032,north,phone,returning,80.46,4,2,yes
10033,west,web,new,115.45,3,3,no
10034,north,web,returning,83.24,3,3,no
10035,north,mobile_app,new,106.24,4,3,no
10036,west,web,returning,51.54,4,3,no
10037,north,web,new,98,5,4,yes
10038,south,web,returning,94.57,2,5,no
10039,south,mobile_app,new,175.36,2,5,yes
10040,east,web,returning,24.59,3,3,yes
10041,north,web,returning,41.62,4,4,no
10042,east,mobile_app,returning,129.53,5,4,no
10043,north,web,returning,65.09,7,5,yes
10044,west,web,returning,33.47,1,4,no
10045,west,web,returning,108.9,5,3,no
10046,west,mobile_app,returning,93.51,4,1,yes
10047,west,mobile_app,new,30.65,4,5,no
10048,south,mobile_app,new,64.44,5,3,no
10049,east,phone,new,71.49,4,5,no
10050,east,phone,returning,264.13,4,3,no
10051,west,mobile_app,returning,82.17,1,4,no
10052,east,web,new,36.67,2,5,no
10053,north,web,returning,47.55,5,4,no
10054,west,mobile_app,returning,67.74,3,5,no
10055,east,mobile_app,returning,168.49,4,5,no
10056,south,phone,returning,40.73,5,4,no
10057,east,phone,new,225.84,4,3,no
10058,south,web,returning,86.7,4,5,no
10059,north,mobile_app,new,71.41,2,4,no
10060,south,web,new,35.68,1,3,no
10061,west,phone,returning,89.45,3,4,yes
10062,east,web,returning,71.02,3,5,no
10063,east,web,returning,21.78,9,5,no
10064,north,web,returning,23.27,7,4,no
10065,north,web,new,84.31,4,3,no
10066,east,mobile_app,new,48.74,3,4,no
10067,east,mobile_app,returning,30.6,6,4,no
10068,north,mobile_app,returning,84.41,2,2,yes
10069,east,phone,new,39.8,2,4,yes
10070,east,phone,returning,58.51,4,4,no
10071,south,web,new,68.04,6,5,yes
10072,north,web,new,42.01,3,3,no
10073,west,mobile_app,new,107.32,2,4,no
10074,north,phone,returning,57.57,7,4,yes
10075,west,phone,new,51.27,3,4,no
10076,north,mobile_app,new,67.42,2,3,yes
10077,west,phone,new,90.31,4,3,no
10078,east,web,returning,83.81,8,5,no
10079,south,mobile_app,returning,99.47,4,2,no
10080,east,web,returning,71.75,4,4,yes
10081,north,mobile_app,returning,109.16,2,3,no
10082,south,web,returning,259.85,2,5,no
10083,south,web,new,40.3,4,2,no
10084,east,web,returning,36.88,4,3,no
10085,east,mobile_app,returning,73.38,5,4,yes
10086,north,web,returning,88.64,5,4,no
10087,north,phone,returning,30.45,3,3,no
10088,east,mobile_app,returning,91.81,1,3,no
10089,east,mobile_app,returning,101.11,8,3,no
10090,north,mobile_app,returning,28.09,6,5,yes
10091,east,web,returning,90.98,5,4,no
10092,west,mobile_app,returning,42.93,5,5,no
10093,west,mobile_app,new,57.43,5,4,no
10094,east,mobile_app,new,54.11,3,4,no
10095,north,phone,new,62.31,5,5,yes
10096,north,web,new,72.51,2,5,no
10097,south,mobile_app,returning,101.61,4,4,yes
10098,west,mobile_app,returning,136.99,4,3,no
10099,west,mobile_app,returning,50.81,5,3,no
10100,north,mobile_app,new,227.56,3,2,no
10101,north,phone,returning,60.16,5,4,yes
10102,west,web,new,79.83,1,3,no
10103,north,mobile_app,new,82.32,2,3,no
10104,east,web,returning,25.97,3,4,no
10105,north,web,returning,149.16,1,5,no
10106,east,mobile_app,returning,98.28,6,5,no
10107,east,mobile_app,new,42.45,9,4,no
10108,west,mobile_app,new,270.84,3,4,no
10109,west,mobile_app,returning,115.07,5,4,no
10110,north,phone,new,49.67,7,4,no
10111,east,phone,returning,125.39,4,3,no
10112,east,web,new,160.11,7,5,no
10113,east,phone,new,70.84,2,4,yes
10114,south,mobile_app,returning,75.84,2,4,no
10115,north,web,new,109.25,6,5,no
10116,north,web,returning,54.27,5,3,no
10117,north,mobile_app,new,44.06,2,4,no
10118,north,mobile_app,returning,75.42,3,5,no
10119,north,phone,returning,158.78,5,5,no
10120,south,mobile_app,returning,88.27,4,2,no
10121,east,web,new,109.07,2,4,no
10122,east,web,new,47.35,5,3,no
10123,north,phone,returning,129.74,3,4,yes
10124,west,web,returning,31.79,7,5,no
10125,west,mobile_app,returning,84.07,6,5,no
10126,north,web,returning,138.64,4,4,yes
10127,north,mobile_app,new,229.2,1,4,no
10128,west,mobile_app,new,92.01,3,5,no
10129,west,web,returning,65.07,7,5,no
10130,north,mobile_app,new,118.79,3,4,yes
10131,north,web,returning,25.02,5,4,no
10132,north,mobile_app,returning,86.53,6,4,yes
10133,west,web,new,55.89,3,4,no
10134,south,web,new,40.32,1,2,no
10135,north,mobile_app,new,160.04,1,3,no
10136,east,web,returning,47.81,2,4,no
10137,north,mobile_app,returning,93.83,1,5,no
10138,east,web,returning,81.89,5,4,no
10139,south,phone,new,72.76,4,5,yes
10140,south,web,returning,103.88,4,3,no
10141,north,mobile_app,returning,26.15,5,4,no
10142,west,web,new,116.28,3,2,no
10143,south,mobile_app,new,110.96,7,1,no
10144,south,mobile_app,returning,174.59,4,4,no
10145,east,mobile_app,returning,131.26,5,4,no
10146,north,mobile_app,new,25.29,7,4,no
10147,south,web,returning,44.76,2,5,no
10148,west,web,returning,68.89,8,4,no
