"release","result"
"R001","Profit"
"R002","Profit"
"R003","Flop"
"R004","Profit"
"R005","Profit"
"R006","Flop"
"R007","Profit"
"R008","Profit"
"R009","Profit"
"R010","Flop"
"R011","Profit"
"R012","Profit"
"R013","Flop"
"R014","Profit"
"R015","Profit"
"R016","Profit"
"R017","Flop"
"R018","Flop"
"R019","Flop"
"R020","Flop"
"R021","Flop"
"R022","Flop"
"R023","Profit"
"R024","Flop"
"R025","Flop"
"R026","Profit"
"R027","Profit"
"R028","Flop"
"R029","Profit"
"R030","Profit"
"R031","Flop"
"R032","Profit"
"R033","Flop"
"R034","Profit"
"R035","Profit"
"R036","Profit"
"R037","Flop"
"R038","Profit"
"R039","Profit"
"R040","Flop"
"R041","Flop"
"R042","Flop"
"R043","Flop"
"R044","Flop"
"R045","Profit"
"R046","Profit"
"R047","Profit"
"R048","Flop"
"R049","Profit"
"R050","Profit"
"R051","Profit"
"R052","Profit"
"R053","Profit"
"R054","Profit"
"R055","Profit"
"R056","Flop"
"R057","Profit"
"R058","Profit"
"R059","Profit"
"R060","Profit"
"R061","Profit"
"R062","Profit"
"R063","Flop"
"R064","Flop"
"R065","Profit"
"R066","Profit"
"R067","Profit"
"R068","Profit"
"R069","Flop"
"R070","Flop"
"R071","Flop"
"R072","Profit"
"R073","Flop"
"R074","Profit"
"R075","Profit"
"R076","Profit"
"R077","Profit"
"R078","Profit"
"R079","Profit"
"R080","Flop"
"R081","Profit"
"R082","Flop"
"R083","Flop"
"R084","Flop"
"R085","Profit"
"R086","Profit"
"R087","Profit"
"R088","Profit"
"R089","Profit"
"R090","Flop"
"R091","Profit"
"R092","Profit"
"R093","Profit"
"R094","Flop"
"R095","Profit"
"R096","Profit"
"R097","Profit"
"R098","Profit"
"R099","Profit"
"R100","Flop"
"R101","Flop"
"R102","Profit"
"R103","Flop"
"R104","Profit"
"R105","Flop"
"R106","Profit"
"R107","Profit"
"R108","Profit"
"R109","Profit"
"R110","Flop"
"R111","Flop"
"R112","Profit"
"R113","Flop"
"R114","Profit"
"R115","Flop"
"R116","Profit"
"R117","Profit"
"R118","Flop"
"R119","Flop"
"R120","Profit"
