Salary,Position,Experience
53938,1,2
52694,1,2
70515,2,1
52031,1,2
62283,2,1
57718,1,1
79081,2,3
48621,1,1
72835,2,3
54768,1,2
52282,1,2
55632,1,1
63856,2,1
51827,1,2
51948,1,1
56588,1,2
68858,2,1
63478,2,1
83846,2,2
58253,1,3
53464,1,1
83176,2,2
59949,1,3
52833,1,1
72914,2,3
83040,2,2
64288,2,1
63562,1,3
51644,1,3
55959,1,1
88730,2,2
77683,2,2
55339,1,3
71345,2,1
63799,1,1
78074,2,3
65546,2,1
59057,1,2
66024,2,1
58457,1,3
79383,2,2
61128,2,1
54122,1,1
78710,2,3
58814,1,1
59276,1,1
75869,2,2
57549,1,2
76762,2,2
60993,2,1
63362,1,2
52231,1,3
61115,1,3
56080,1,2
53392,1,2
61299,2,1
52894,1,3
82794,2,2
56990,1,1
77403,2,3
78936,2,3
54282,1,2
78850,2,2
53592,1,3
56461,1,1
74389,2,3
49422,1,1
86692,2,2
77356,2,3
58055,1,2
77820,2,3
77801,2,3
58053,1,2
78169,2,2
68560,2,1
66320,2,3
67237,2,1
62225,2,1
57866,1,3
77311,2,3
76863,2,3
81750,2,2
57749,1,3
52638,1,2
62675,1,2
50027,1,3
62881,2,1
75791,2,3
61680,2,1
58768,1,3
55568,1,3
82622,2,2
75326,2,3
56719,1,3
56366,1,3
57670,1,1
52072,1,1
68569,2,3
81526,2,2
82059,2,2
74374,2,3
51119,1,1
80696,2,2
56352,1,1
77622,2,3
69142,2,1
67603,2,3
60561,2,1
51246,1,2
54891,1,1
87090,2,2
54482,1,3
53464,1,1
58568,1,2
57080,1,3
78702,2,2
83131,2,2
56788,1,3
53070,1,2
60259,2,1
